frame,cpu_grayscale_ms,cpu_blur_ms,cpu_equalize_ms,cpu_morphology_ms,cpu_canny_ms,cpu_total_ms,gpu_grayscale_ms,gpu_blur_ms,gpu_equalize_ms,gpu_morphology_ms,gpu_canny_ms,gpu_total_ms,speedup
47,0.5176,0.3835,2.1675,0.7078,1.8705,5.6469,0.1031,0.0867,0.1714,6.8880,0.2715,8.0768,0.6992
48,0.5084,0.3271,1.3610,0.6551,1.4419,4.2935,0.1127,0.0927,0.1823,7.1005,0.3906,8.5138,0.5043
49,0.5089,0.3641,0.9167,0.6591,1.8847,4.3335,0.1009,0.0861,0.1762,6.4906,0.3025,7.7635,0.5582
50,0.3931,0.3382,0.8356,0.6724,1.3766,3.6159,0.1137,0.0921,0.1870,6.4863,0.2352,7.7136,0.4688
51,0.5293,0.4044,0.7981,1.0793,1.4823,4.2934,0.1290,0.1260,0.2828,6.4977,0.2095,8.0347,0.5344
52,0.4974,0.3713,0.9595,0.6635,1.4881,3.9799,0.1149,0.1249,0.1937,6.3940,0.2957,7.7691,0.5123
53,0.5024,0.3253,0.9044,0.6560,1.1350,3.5231,0.1013,0.0880,0.1741,7.4018,0.5442,8.9543,0.3935
54,0.2760,0.1680,1.3742,0.7295,1.3600,3.9076,0.1306,0.0999,0.1954,6.6873,0.2210,7.9518,0.4914
55,0.0679,0.0787,0.1306,0.1305,0.2224,0.6301,0.0280,0.0188,0.0879,3.1129,0.1201,3.5379,0.1781
56,0.2842,0.1673,0.8769,0.6584,1.2163,3.2031,0.1043,0.0929,0.1869,5.9238,0.2105,7.1107,0.4505
57,0.4910,0.3903,0.9415,0.6629,1.1834,3.6691,0.1104,0.0952,0.1855,6.8412,0.3855,8.2489,0.4448
58,0.4998,0.4505,1.0452,0.8049,1.2996,4.1000,0.1169,0.0987,0.1940,6.7106,0.4582,8.2326,0.4980
59,0.6830,0.4396,0.8734,0.6243,1.3416,3.9618,0.1137,0.0967,0.2068,6.1781,0.2162,7.3817,0.5367
60,0.8096,0.3517,2.3022,0.6475,1.2630,5.3740,0.1133,0.0896,0.1894,6.2957,0.2792,7.5867,0.7083
61,0.2285,0.3760,1.0217,0.6877,1.3970,3.7110,0.1141,0.0906,0.1880,6.6529,0.3361,8.0702,0.4598
62,0.4937,0.3914,0.9791,0.6643,1.4892,4.0176,0.1032,0.0898,0.1999,6.7668,0.4293,8.1891,0.4906
63,0.4264,0.3222,0.9472,0.6704,1.2036,3.5699,0.1138,0.0908,0.1826,6.1992,0.2243,7.4338,0.4802
64,0.4941,0.3576,1.1723,0.6763,1.2026,3.9028,0.1095,0.1072,0.1880,6.3602,0.3173,7.7321,0.5048
65,0.5006,0.3996,1.0008,0.9079,1.5117,4.3205,0.1348,0.1253,0.2306,7.2367,0.3102,8.8638,0.4874
66,0.5417,0.3956,1.0136,0.6708,1.2868,3.9085,0.1320,0.1122,0.2171,6.6212,0.3034,8.0085,0.4880
67,0.4935,0.3486,0.9799,0.6623,1.6622,4.1464,0.1121,0.0892,0.1794,6.2765,0.3017,7.5788,0.5471
68,0.4819,0.3522,0.9632,0.6583,1.8095,4.2651,0.1092,0.0895,0.1848,6.8265,0.3117,8.1535,0.5231
69,0.2702,0.3158,0.8565,0.6750,1.3401,3.4576,0.1023,0.1066,0.1922,6.6532,0.2597,7.8324,0.4414
70,0.4918,0.3699,1.5112,0.6545,1.2917,4.3191,0.1144,0.0954,0.1895,6.4028,0.3149,7.7394,0.5581
71,0.2705,0.1768,1.3165,0.7138,2.0853,4.5628,0.1362,0.0947,0.1918,6.1455,0.2163,7.3273,0.6227
